file	format	type	num_seqs	sum_len	min_len	avg_len	max_len
adapter-removed/C10.trimmed_2.fastq	FASTQ	DNA	118571	26555705	3	224.0	224
adapter-removed/C110.trimmed_1.fastq	FASTQ	DNA	144464	32501519	11	225.0	225
adapter-removed/C110.trimmed_2.fastq	FASTQ	DNA	144464	32358389	39	224.0	224
adapter-removed/C111.trimmed_1.fastq	FASTQ	DNA	116462	26201689	14	225.0	225
adapter-removed/C111.trimmed_2.fastq	FASTQ	DNA	116462	26085149	41	224.0	224
adapter-removed/C112.trimmed_1.fastq	FASTQ	DNA	143251	32228884	32	225.0	225
adapter-removed/C112.trimmed_2.fastq	FASTQ	DNA	143251	32084578	41	224.0	224
adapter-removed/C113.trimmed_1.fastq	FASTQ	DNA	146944	33059421	6	225.0	225
adapter-removed/C113.trimmed_2.fastq	FASTQ	DNA	146944	32911565	28	224.0	224
adapter-removed/C114.trimmed_1.fastq	FASTQ	DNA	148119	33324457	52	225.0	225
adapter-removed/C114.trimmed_2.fastq	FASTQ	DNA	148119	33170547	6	223.9	224
adapter-removed/C115.trimmed_1.fastq	FASTQ	DNA	117903	26526333	57	225.0	225
adapter-removed/C115.trimmed_2.fastq	FASTQ	DNA	117903	26408499	41	224.0	224
adapter-removed/C116.trimmed_1.fastq	FASTQ	DNA	149906	33725560	36	225.0	225
adapter-removed/C116.trimmed_2.fastq	FASTQ	DNA	149906	33576275	37	224.0	224
adapter-removed/C117.trimmed_1.fastq	FASTQ	DNA	137302	30890587	14	225.0	225
adapter-removed/C117.trimmed_2.fastq	FASTQ	DNA	137302	30754022	28	224.0	224
adapter-removed/C118.trimmed_1.fastq	FASTQ	DNA	125211	28168427	4	225.0	225
adapter-removed/C118.trimmed_2.fastq	FASTQ	DNA	125211	28042774	3	224.0	224
adapter-removed/C119.trimmed_1.fastq	FASTQ	DNA	117893	26523579	39	225.0	225
adapter-removed/C119.trimmed_2.fastq	FASTQ	DNA	117893	26405643	3	224.0	224
adapter-removed/C11.trimmed_1.fastq	FASTQ	DNA	122390	27533430	8	225.0	225
adapter-removed/C11.trimmed_2.fastq	FASTQ	DNA	122390	27409668	2	224.0	224
adapter-removed/C120.trimmed_1.fastq	FASTQ	DNA	127256	28629185	4	225.0	225
adapter-removed/C120.trimmed_2.fastq	FASTQ	DNA	127256	28503448	20	224.0	224
adapter-removed/C121.trimmed_1.fastq	FASTQ	DNA	124536	28016871	17	225.0	225
adapter-removed/C121.trimmed_2.fastq	FASTQ	DNA	124536	27892074	6	224.0	224
adapter-removed/C122.trimmed_1.fastq	FASTQ	DNA	119815	26954667	38	225.0	225
adapter-removed/C122.trimmed_2.fastq	FASTQ	DNA	119815	26831007	2	223.9	224
adapter-removed/C123.trimmed_1.fastq	FASTQ	DNA	131758	29641979	3	225.0	225
adapter-removed/C123.trimmed_2.fastq	FASTQ	DNA	131758	29512079	41	224.0	224
adapter-removed/C124.trimmed_1.fastq	FASTQ	DNA	121365	27304006	41	225.0	225
adapter-removed/C124.trimmed_2.fastq	FASTQ	DNA	121365	27183955	79	224.0	224
adapter-removed/C125.trimmed_1.fastq	FASTQ	DNA	135794	30550666	16	225.0	225
adapter-removed/C125.trimmed_2.fastq	FASTQ	DNA	135794	30415564	41	224.0	224
adapter-removed/C126.trimmed_1.fastq	FASTQ	DNA	145086	32640584	3	225.0	225
adapter-removed/C126.trimmed_2.fastq	FASTQ	DNA	145086	32496157	7	224.0	224
adapter-removed/C127.trimmed_1.fastq	FASTQ	DNA	141338	31797166	53	225.0	225
adapter-removed/C127.trimmed_2.fastq	FASTQ	DNA	141338	31656035	2	224.0	224
